file,number,text,lrml
lrml/NZ_NZBC-G4AS1#4.0.lrml,r1.2.2.1,1.2.2 Natural ventilation of occupied spaces must be achieved by providing a net openable area of windows or other openings to the outside of no less than 5% of the floor area.,"if( and( expression( function( greater than), expression( function( count), atom( relation( occupant load), variable( space))), data( 0)), expression( function( greater than), expression( function( count), atom( relation( opening), variable( wall))), data( 0)), expression( function( is), atom( relation( is external), variable( wall)), data( true)))), then( obligation( expression( function( greater than equal), atom( relation( ratio), variable( vent area to floor area)), data( 0.05))))"
lrml/NZ_NZBC-G14AS1#2.6.lrml,r1.1.0.1,1.1.1 A fence erected to ensure security against unauthorised access to storage and treatment facilities shall comply with F5/AS1 Construction and Demolition Hazards.,"if( and( atom( relation( storage facility), variable( industrial liquid waste), data( security fence), operator( has)), atom( relation( treatment facility), variable( industrial liquid waste), data( security fence), operator( has)))), then( and( obligation( atom( relation( construction), variable( security fence), data( nzbc f5 as1), operator( comply with))), atom( relation( construction), variable( security fence), data( nzbc f5 as1), operator( comply with))))"
lrml/NZ_NZBC-G14AS1#2.6.lrml,r1.2.0.1,"1.2.1 Discharge to the sewer without pre-treatment – Where the network utility operator accepts the discharge of industrial liquid waste to a sewer without pre-treatment, the disposal system shall comply with Acceptable Solution G13/AS2.","if( and( permission( atom( variable( industrial liquid waste), data( sewer), operator( discharge into)))), and( atom( relation( treated for sewer), variable( industrial liquid waste), data( false), operator( is))), and( atom( relation( disposal method), variable( industrial liquid waste), data( nuo), operator( approved by)))), then( obligation( atom( variable( disposal system), data( nzbc g13 as2), operator( comply with))))"
lrml/NZ_NZBC-G14AS1#2.6.lrml,r1.2.0.2,"1.2.1 Discharge to the sewer without pre-treatment – Where the network utility operator accepts the discharge of industrial liquid waste to a sewer without pre-treatment, that part of the discharge system used to convey the waste after treatment shall comply with Acceptable Solution G13/AS2.","if( and( permission( atom( variable( industrial liquid waste), data( sewer), operator( discharge into))), atom( relation( treated for sewer), variable( industrial liquid waste), data( true), operator( is)), atom( relation( disposal method), variable( industrial liquid waste), data( nuo), operator( approved by)))), then( obligation( atom( relation( post treatment), variable( disposal system), data( nzbc g13 as2), operator( comply with))))"
lrml/NZ_NZBC-CVM2#0.5.lrml,r2.3.3.1.0.1,"Calculations of fire resistance; The following parameters shall apply: a) Post-flashover species yield for soot is Ysoot = 0.14 kg/kgfuel b) Post-flashover species yield for CO is YCO = 0.40 kg/kgfuel, and c) Design FLEDs shall be as specified in Table 2.2 for activities within buildings.","if( expression( function( equal), atom( relation( resistance), variable( fire)), data( required))), then( and( obligation( expression( function( equal), atom( variable( ysoot)), data( 0.14kg/( kgoffuel)))), expression( function( equal), atom( variable( yco)), data( 0.4kg/( kgoffuel))), expression( function( comply with), atom( variable( fled)), data( table)), expression( function( equal), atom( relation( key), variable( table)), data( t 2.2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.0.1,This Acceptable Solution is one of three Acceptable Solutions that provide a means of establishing compliance with NZBC Clauses C1 to C6 Protection from Fire. It can be used for the building activities covered by risk groups specified in Paragraph 1.1.1 and described in Table 1.1.,"if( and( or( obligation( expression( function( comply with), atom( variable( building)), data( nzbc c1))), obligation( expression( function( comply with), atom( variable( building)), data( nzbc c2))), obligation( expression( function( comply with), atom( variable( building)), data( nzbc c3))), obligation( expression( function( comply with), atom( variable( building)), data( nzbc c5))), obligation( expression( function( comply with), atom( variable( building)), data( nzbc c6)))), expression( function( as per), atom( relation( risk group), variable( building)), data( table)), expression( function( equal), atom( relation( key), variable( table)), data( t 1.1)), expression( function( as per), atom( relation( risk group), variable( building)), data( rule)), expression( function( equal), atom( relation( key), variable( rule)), data( 1.1.1)))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( this document))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.0.2,"For risk group SH, please refer to Acceptable Solution C/AS1.","if( obligation( expression( function( is), atom( relation( risk group), variable( building)), data( sh)))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( nzbc cas1))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.0.3,"For backcountry huts, please refer to Acceptable Solution BCH/AS1.","if( obligation( expression( function( is), atom( relation( activity), variable( building)), data( backcountry hut)))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( nzbc bch/as1))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.1,1.1.1 The scope of this Acceptable Solution is restricted to all risk groups listed in Table 1.1 except for risk group SH (refer to C/AS1).,"if( and( expression( function( as per), atom( relation( risk group), variable( building)), data( table)), expression( function( equal), atom( relation( key), variable( table)), data( t 1.1)), not( expression( function( is), atom( relation( risk group), variable( building)), data( sh))))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( this document))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.2,It covers buildings or parts of buildings where people: Sleep (SM),"if( or( expression( function( is), atom( relation( activity), variable( building)), data( sleeping)), expression( function( equal), atom( relation( risk group), variable( building)), data( sm)))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( this document))))"
