file,number,text,lrml
lrml/NZ_NZBC-G4AS1#4.0.lrml,r1.2.2.1,1.2.2 Natural ventilation of occupied spaces must be achieved by providing a net openable area of windows or other openings to the outside of no less than 5% of the floor area.,"if(and(expr(fun(greaterThan),expr(fun(count),atom(rel(occupantLoad),var(space))),data(0)),expr(fun(greaterThan),expr(fun(count),atom(rel(opening),var(wall))),data(0)),expr(fun(is),atom(rel(isExternal),var(wall)),data(true)),and(not(expr(fun(is),atom(rel(classifiedUse),var(building)),data(commercial))),not(expr(fun(is),atom(rel(classifiedUse),var(building)),data(industrial)))))),then(obligation(expr(fun(greaterThanEqual),atom(rel(ratio),var(ventAreaToFloorArea)),data(0.05))))"
lrml/NZ_NZBC-G14AS1#2.6.lrml,r1.1.0.1,1.1.1 A fence erected to ensure security against unauthorised access to storage and treatment facilities shall comply with F5/AS1 Construction and Demolition Hazards.,"if(and(or(and(expr(fun(is),atom(rel(purpose),var(facility)),data(storage)),expr(fun(is),atom(rel(type),var(storage)),data(waste))),and(expr(fun(is),atom(rel(purpose),var(facility)),data(treatment)),expr(fun(is),atom(rel(type),var(treatment)),data(waste)))),expr(fun(is),atom(rel(type),var(waste)),data(industrialLiquid)),expr(fun(has),atom(var(facility)),data(securityFence)))),then(and(obligation(expr(fun(complyWith),atom(rel(construction),var(securityFence)),data(nzbc_f5as1))),obligation(expr(fun(complyWith),atom(rel(demolition),var(securityFence)),data(nzbc_f5as1)))))"
lrml/NZ_NZBC-G14AS1#2.6.lrml,r1.2.0.1,"1.2.1 Discharge to the sewer without pre-treatment – Where the network utility operator accepts the discharge of industrial liquid waste to a sewer without pre-treatment, the disposal system shall comply with Acceptable Solution G13/AS2.","if(and(expr(fun(is),atom(rel(purpose),var(system)),data(disposal)),expr(fun(is),atom(rel(type),var(disposal)),data(waste)),expr(fun(is),atom(rel(type),var(waste)),data(industrialLiquid)),not(expr(fun(for),atom(rel(treatment),var(waste)),data(sewer))),expr(fun(is),atom(rel(method),var(disposal)),data(discharge)),expr(fun(to),atom(var(discharge)),data(sewer)),expr(fun(has),atom(rel(method),var(disposal)),data(approval)),expr(fun(by),atom(var(approval)),data(networkUtilityOperator)))),then(obligation(expr(fun(complyWith),atom(var(system)),data(nzbc_g13as2))))"
lrml/NZ_NZBC-G14AS1#2.6.lrml,r1.2.0.2,"1.2.1 Discharge to the sewer without pre-treatment – Where the network utility operator accepts the discharge of industrial liquid waste to a sewer without pre-treatment, that part of the discharge system used to convey the waste after treatment shall comply with Acceptable Solution G13/AS2.","if(and(permission(expr(fun(is),atom(rel(type),var(disposal)),data(waste))),expr(fun(is),atom(rel(type),var(waste)),data(industrialLiquid)),expr(fun(for),atom(rel(treatment),var(waste)),data(sewer)),expr(fun(is),atom(rel(method),var(disposal)),data(discharge)),expr(fun(to),atom(var(discharge)),data(sewer)),expr(fun(has),atom(rel(method),var(disposal)),data(approval)),expr(fun(by),atom(var(approval)),data(networkUtilityOperator)),expr(fun(complyWith),atom(var(system)),data(nzbc_g13as2)),expr(fun(is),atom(rel(component),var(system)),data(postTreatment)))),then(obligation(expr(fun(complyWith),atom(rel(component),var(system)),data(nzbc_g13as2))))"
lrml/NZ_NZBC-CVM2#0.5.lrml,r2.3.3.1.0.1,"Calculations of fire resistance; The following parameters shall apply: a) Post-flashover species yield for soot is Ysoot = 0.14 kg/kgfuel b) Post-flashover species yield for CO is YCO = 0.40 kg/kgfuel, and c) Design FLEDs shall be as specified in Table 2.2 for activities within buildings.","if(expr(fun(is),atom(rel(resistance),var(fire)),data(required))),then(and(obligation(expr(fun(equal),atom(var(ysoot)),data(0.14 kg/kgFuel))),expr(fun(equal),atom(var(yco)),data(0.4 kg/kgFuel)),expr(fun(complyWith),atom(var(fled)),data(table)),expr(fun(equal),atom(rel(key),var(table)),data(t2.2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.0.1,This Acceptable Solution is one of three Acceptable Solutions that provide a means of establishing compliance with NZBC Clauses C1 to C6 Protection from Fire. It can be used for the building activities covered by risk groups specified in Paragraph 1.1.1 and described in Table 1.1.,"if(and(or(obligation(expr(fun(complyWith),atom(var(building)),data(nzbc_c1))),obligation(expr(fun(complyWith),atom(var(building)),data(nzbc_c2))),obligation(expr(fun(complyWith),atom(var(building)),data(nzbc_c3))),obligation(expr(fun(complyWith),atom(var(building)),data(nzbc_c5))),obligation(expr(fun(complyWith),atom(var(building)),data(nzbc_c6)))),expr(fun(asPer),atom(rel(riskGroup),var(building)),data(table)),expr(fun(equal),atom(rel(key),var(table)),data(t1.1)),expr(fun(asPer),atom(rel(riskGroup),var(building)),data(rule)),expr(fun(equal),atom(rel(key),var(rule)),data(1.1.1)))),then(obligation(expr(fun(complyWith),atom(rel(fireProtection),var(building)),data(nzbc_cas2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.0.2,"C1-C6 Protection from Fire; For risk group SH, please refer to Acceptable Solution C/AS1.","if(obligation(expr(fun(is),atom(rel(riskGroup),var(building)),data(sh)))),then(obligation(expr(fun(complyWith),atom(rel(fireProtection),var(building)),data(nzbc_cas1))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.0.3,"C1-C6 Protection from Fire; For backcountry huts, please refer to Acceptable Solution BCH/AS1.","if(obligation(expr(fun(is),atom(rel(activity),var(building)),data(backcountryHut)))),then(obligation(expr(fun(complyWith),atom(rel(fireProtection),var(building)),data(nzbc_bchas1))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.1,1.1.1 The scope of this Acceptable Solution is restricted to all risk groups listed in Table 1.1 except for risk group SH (refer to C/AS1).,"if(and(expr(fun(asPer),atom(rel(riskGroup),var(building)),data(table)),expr(fun(equal),atom(rel(key),var(table)),data(t1.1)),not(expr(fun(is),atom(rel(riskGroup),var(building)),data(sh))))),then(obligation(expr(fun(complyWith),atom(rel(fireProtection),var(building)),data(nzbc_cas2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.2,C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Sleep (SM),"if(or(expr(fun(is),atom(rel(activity),var(building)),data(sleeping)),expr(fun(equal),atom(rel(riskGroup),var(building)),data(sm)))),then(obligation(expr(fun(complyWith),atom(rel(fireProtection),var(building)),data(nzbc_cas2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.3,"C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Are unable to self-evacuate without assistance through requiring special care or treatment, or they are restrained, or their liberties are restricted (SI)","if(or(or(expr(fun(is),atom(rel(activity),var(building)),data(care)),expr(fun(is),atom(rel(activity),var(building)),data(detention))),expr(fun(equal),atom(rel(riskGroup),var(building)),data(si)))),then(obligation(expr(fun(complyWith),atom(rel(fireProtection),var(building)),data(nzbc_cas2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.4,"C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Congregate, participate in group activities or where professional services or retail are provided (CA)","if(or(or(expr(fun(is),atom(rel(activity),var(building)),data(crowd)),expr(fun(is),atom(rel(activity),var(building)),data(educational)),expr(fun(is),atom(rel(activity),var(building)),data(personalService))),expr(fun(equal),atom(rel(riskGroup),var(building)),data(ca)))),then(obligation(expr(fun(complyWith),atom(rel(fireProtection),var(building)),data(nzbc_cas2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.5,"C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Work (WB - Business, professional services, industrial)","if(or(or(expr(fun(is),atom(rel(activity),var(building)),data(business)),expr(fun(is),atom(rel(activity),var(building)),data(professionalService)),expr(fun(is),atom(rel(activity),var(building)),data(industrial))),expr(fun(equal),atom(rel(riskGroup),var(building)),data(wb)))),then(obligation(expr(fun(complyWith),atom(rel(fireProtection),var(building)),data(nzbc_cas2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.6,C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Store goods and other materials (WS - Storage and trade service),"if(or(or(expr(fun(is),atom(rel(activity),var(building)),data(storage)),expr(fun(is),atom(rel(activity),var(building)),data(tradeService))),expr(fun(equal),atom(rel(riskGroup),var(building)),data(ws)))),then(obligation(expr(fun(complyWith),atom(rel(fireProtection),var(building)),data(nzbc_cas2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.7,C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Park vehicles (VP).,"if(or(expr(fun(is),atom(rel(activity),var(building)),data(vehicleParking)),expr(fun(equal),atom(rel(riskGroup),var(building)),data(vp)))),then(obligation(expr(fun(complyWith),atom(rel(fireProtection),var(building)),data(nzbc_cas2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.2.2.0.1,"1.2.2 If a building contains a number of different activities which individually may be categorised in different risk groups, the risk group designated for the building shall be that of the primary risk group.","if(and(expr(fun(greaterThan),expr(fun(count),atom(rel(activity),var(building))),data(1)),expr(rulestatement(expr(fun(in),expr(fun(max),atom(rel(riskGroup),var(activity))),data(building))),appliedstatement(expr(fun(define),atom(rel(stringency),var(riskGroup)),data(primaryRiskGroup)))))),then(obligation(expr(fun(is),atom(rel(riskGroup),var(building)),data(primaryRiskGroup))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.2.2.0.2,"If a building contains a number of different activities which individually may be categorised in different risk groups, the risk group designated for a particular firecell within a building shall be that of the primary risk group.","if(and(expr(fun(greaterThan),expr(fun(count),atom(rel(activity),var(firecell))),data(1)),expr(rulestatement(expr(fun(in),expr(fun(max),atom(rel(riskGroup),var(activity))),data(firecell))),appliedstatement(expr(fun(define),atom(rel(stringency),var(riskGroup)),data(primaryRiskGroup)))))),then(obligation(expr(fun(is),atom(rel(riskGroup),var(firecell)),data(primaryRiskGroup))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.2.2.0.3,"1.2.2 If a building contains a number of different activities which individually may be categorised in different risk groups, the risk group designated for a particular room within a building shall be that of the primary risk group.","if(and(expr(fun(greaterThan),expr(fun(count),atom(rel(activity),var(space))),data(1)),expr(rulestatement(expr(fun(in),expr(fun(max),atom(rel(riskGroup),var(activity))),data(space))),appliedstatement(expr(fun(define),atom(rel(stringency),var(riskGroup)),data(primaryRiskGroup)))))),then(obligation(expr(fun(is),atom(rel(riskGroup),var(space)),data(primaryRiskGroup))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.2.2.0.4,"Other risk groups may be able to be incorporated within the same space provided these are ancillary to, and support, the primary risk groups.","if(and(expr(fun(is),atom(rel(activity),var(space)),data(ancillary)),expr(fun(partOf),atom(var(space)),data(firecell)),expr(fun(is),atom(rel(riskGroup),var(firecell)),data(primaryRiskGroup)))),then(obligation(expr(fun(is),atom(rel(riskGroup),var(space)),data(primaryRiskGroup))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.2.3.0.1,"1.2.3 Depending on the particular building and the uses or activities within that building, there may be several primary risk groups, with one or more on each floor.","if(expr(fun(has),atom(var(building)),data(primaryRiskGroup))),then(permission(expr(fun(greaterThan),expr(fun(count),atom(var(primaryRiskGroup))),data(1))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.4.1.0.1,"1.4 Calculating occupant loads 1.4.1 The occupant load shall be determined from the risk group and number of people in each space of the building. The occupant load may need to be evaluated not only for each risk group but also for: a) A space or open floor area involving one or more activities, and b) A floor containing more than one risk group, and c) A single firecell, and d) Each floor within a firecell.","if(or(expr(rulestatement(expr(fun(in),expr(fun(forEach),atom(var(buildingStorey))),data(firecell))),appliedstatement(and(expr(fun(define),expr(fun(count),atom(rel(occupant),var(space))),data(p1)),expr(fun(define),atom(rel(riskGroup),var(space)),data(rg1)),expr(fun(include),atom(var(space)),data(openFloorArea)),expr(fun(greaterThan),expr(fun(count),atom(rel(activities),var(space))),data(1))))),expr(rulestatement(expr(fun(in),expr(fun(forEach),atom(var(space))),data(firecell))),appliedstatement(and(expr(fun(define),expr(fun(count),atom(rel(occupant),var(space))),data(p2)),expr(fun(define),atom(rel(riskGroup),var(space)),data(rg2)),expr(fun(include),atom(var(space)),data(openFloorArea)),expr(fun(greaterThan),expr(fun(count),atom(rel(activities),var(space))),data(1))))))),then(and(obligation(expr(fun(include),atom(rel(calculation),var(occupantLoad)),data(p1))),obligation(expr(fun(include),atom(rel(calculation),var(occupantLoad)),data(p2))),obligation(expr(fun(include),atom(rel(calculation),var(occupantLoad)),data(rg1))),obligation(expr(fun(include),atom(rel(calculation),var(occupantLoad)),data(rg2)))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.4.2.0.1,1.4.2 Occupant loads shall be calculated from the occupant densities given in Table 1.2 based on the floor area of the part of the building housing the activity. Table 1.2 Occupant densities; Activity; Occupancy density (m2/ person).,"if(and(expr(fun(define),atom(rel(floorArea),var(space)),data(A)),expr(fun(define),atom(var(occupantLoadDensity)),data(d)),obligation(expr(fun(asPer),atom(var(d)),data(table))),obligation(expr(fun(equal),atom(rel(key),var(table)),data(t1.2))))),then(obligation(expr(fun(equal),atom(rel(occupantLoad),var(space)),data(A / d))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.4.3.0.1,"1.4 Calculating occupant loads 1.4.3 Duplication shall be avoided by: a) Ensuring that, where people may be involved in more than one activity, they are counted only once","if(and(expr(fun(has),atom(var(space)),data(occupant)),expr(fun(in),atom(rel(involvement),var(occupant)),data(activity)),expr(fun(greaterThan),expr(fun(count),atom(var(activity))),data(1)))),then(and(obligation(expr(fun(include),atom(rel(calculation),var(occupantLoad)),data(occupant))),expr(fun(is),atom(rel(instance),var(occupant)),data(distinct))))"
